d,m,t_enkf_mean,t_enkf_std,t_gp_mean,t_gp_std
200,40,0.00014948314055800437,0.0001479150893153251,0.0017223835922777653,0.002357378840318249
400,80,0.0005867086350917816,0.0003933372613418556,0.0014848917722702025,0.000824800264273754
600,120,0.0007148917764425277,0.00012462669718536892,0.001727266749367118,0.00020806120110138373
800,160,0.0009887083899229765,0.00015835310509178385,0.0021882162429392336,0.00034456354540503346
